# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x100000028 | 16 | ASCII | __PAGEZERO
0x100000070 | 16 | ASCII | __TEXT
0x1000000b0 | 16 | ASCII | __text
0x1000000c0 | 16 | ASCII | __TEXT
0x100000100 | 16 | ASCII | __stubs
0x100000110 | 16 | ASCII | __TEXT
0x100000150 | 16 | ASCII | __stub_helper
0x100000160 | 16 | ASCII | __TEXT
0x1000001a0 | 16 | ASCII | __const
0x1000001b0 | 16 | ASCII | __TEXT
0x1000001f0 | 16 | ASCII | __cstring
0x100000200 | 16 | ASCII | __TEXT
0x100000240 | 16 | ASCII | __objc_methname
0x100000250 | 16 | ASCII | __TEXT
0x100000290 | 16 | ASCII | __objc_classname
0x1000002a0 | 16 | ASCII | __TEXT
0x1000002e0 | 16 | ASCII | __objc_methtype
0x1000002f0 | 16 | ASCII | __TEXT
0x100000330 | 16 | ASCII | __gcc_except_tab
0x100000340 | 16 | ASCII | __TEXT
0x100000380 | 16 | ASCII | __unwind_info
0x100000390 | 16 | ASCII | __TEXT
0x1000003d0 | 16 | ASCII | __eh_frame
0x1000003e0 | 16 | ASCII | __TEXT
0x100000428 | 16 | ASCII | __DATA
0x100000468 | 16 | ASCII | __got
0x100000478 | 16 | ASCII | __DATA
0x1000004b8 | 16 | ASCII | __la_symbol_ptr
0x1000004c8 | 16 | ASCII | __DATA
0x100000508 | 16 | ASCII | __const
0x100000518 | 16 | ASCII | __DATA
0x100000558 | 16 | ASCII | __cfstring
0x100000568 | 16 | ASCII | __DATA
0x1000005a8 | 16 | ASCII | __objc_classlist
0x1000005b8 | 16 | ASCII | __DATA
0x1000005f8 | 16 | ASCII | __objc_catlist
0x100000608 | 16 | ASCII | __DATA
0x100000648 | 16 | ASCII | __objc_imageinfo
0x100000658 | 16 | ASCII | __DATA
0x100000698 | 16 | ASCII | __objc_const
0x1000006a8 | 16 | ASCII | __DATA
0x1000006e8 | 16 | ASCII | __objc_selrefs
0x1000006f8 | 16 | ASCII | __DATA
0x100000738 | 16 | ASCII | __objc_classrefs
0x100000748 | 16 | ASCII | __DATA
0x100000788 | 16 | ASCII | __objc_superrefs
0x100000798 | 16 | ASCII | __DATA
0x1000007d8 | 16 | ASCII | __objc_ivar
0x1000007e8 | 16 | ASCII | __DATA
0x100000828 | 16 | ASCII | __objc_data
0x100000838 | 16 | ASCII | __DATA
0x100000878 | 16 | ASCII | __data
0x100000888 | 16 | ASCII | __DATA
0x1000008c8 | 16 | ASCII | __bss
0x1000008d8 | 16 | ASCII | __DATA
0x100000920 | 16 | ASCII | __LINKEDIT
0x100000a04 | 14 | ASCII | /usr/lib/dyld
0x100000a98 | 26 | ASCII | /usr/lib/libsqlite3.dylib
0x100000ad0 | 90 | ASCII | /System/Library/PrivateFrameworks/MobileContainerManager.framework/MobileContainerManager
0x100000b48 | 55 | ASCII | /System/Library/Frameworks/Contacts.framework/Contacts
0x100000b98 | 49 | ASCII | /System/Library/Frameworks/UIKit.framework/UIKit
0x100000be8 | 32 | ASCII | /usr/lib/libMobileGestalt.dylib
0x100000c20 | 22 | ASCII | /usr/lib/libz.1.dylib
0x100000c50 | 65 | ASCII | /System/Library/Frameworks/CoreTelephony.framework/CoreTelephony
0x100000cb0 | 66 | ASCII | /System/Library/PrivateFrameworks/AppSupport.framework/AppSupport
0x100000d10 | 57 | ASCII | /System/Library/Frameworks/CFNetwork.framework/CFNetwork
0x100000d68 | 55 | ASCII | /System/Library/Frameworks/Security.framework/Security
0x100000db8 | 84 | ASCII | /System/Library/PrivateFrameworks/SpringBoardServices.framework/SpringBoardServices
0x100000e28 | 59 | ASCII | /System/Library/Frameworks/Foundation.framework/Foundation
0x100000e80 | 75 | ASCII | /System/Library/Frameworks/MobileCoreServices.framework/MobileCoreServices
0x100000ee8 | 25 | ASCII | /usr/lib/libobjc.A.dylib
0x100000f20 | 27 | ASCII | /usr/lib/libSystem.B.dylib
0x100000f58 | 67 | ASCII | /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation
0x100000fac | 28 | ASCII | @executable_path/Frameworks
0x100000fd4 | 24 | ASCII | @loader_path/Frameworks
0x1001e5bd9 | 30 | ASCII | v24@?0@"h1ZnYrLl"8@"NSData"16
0x1001e5bf7 | 6 | ASCII | v8@?0
0x1001e5bfd | 11 | ASCII | initialize
0x1001e5c08 | 8 | ASCII | v16@0:8
0x1001e5c10 | 47 | ASCII | v32@?0@"NSURLResponse"8@"NSData"16@"NSError"24
0x1001e5c40 | 29 | ASCII | net.robnapier.RNCryptManager
0x1001e5c5d | 18 | ASCII | v16@?0@"NSTimer"8
0x1001e5c6f | 33 | ASCII | v32@?0@"NSString"8@"NSURL"16^B24
0x1001e5c90 | 32 | ASCII | T@"NSMutableData",R,N,V__buffer
0x1001e5cb0 | 34 | ASCII | JSONObjectWithData:options:error:
0x1001e5cd2 | 16 | ASCII | TB,N,V_r6wqQ8KY
0x1001e5ce2 | 29 | ASCII | T@"ChungThuc",&,N,V_e4zs1YLy
0x1001e5cff | 16 | ASCII | allApplications
0x1001e5d0f | 26 | ASCII | T@"NSData",&,N,V_d1Gyo33t
0x1001e5d29 | 16 | ASCII | arrayWithArray:
0x1001e5d39 | 31 | ASCII | T@"NSData",C,N,V_encryptionKey
0x1001e5d58 | 16 | ASCII | bundleWithPath:
0x1001e5d68 | 24 | ASCII | T@"NSError",&,N,V_error
0x1001e5d80 | 16 | ASCII | containsString:
0x1001e5d90 | 33 | ASCII | T@"NSMutableData",R,N,V__outData
0x1001e5db1 | 16 | ASCII | dateFromString:
0x1001e5dc1 | 44 | ASCII | T@"NSObject<OS_dispatch_queue>",&,N,V_queue
0x1001e5ded | 16 | ASCII | getValueForKey:
0x1001e5dfd | 28 | ASCII | T@"NSString",C,N,V_password
